step,theta_1,theta_2,cost_func
0,0.05839135051546392,0.6532884974555669,6.737190464870012
1,0.06289175271039385,0.7700097825599365,5.931593568604957
2,0.057822927461428135,0.7913481156584673,5.901154707081387
3,0.051063625160778156,0.795729810284954,5.895228586444221
4,0.04401437836500261,0.7970961782721866,5.890094943117332
5,0.03692413114216263,0.7979254732843951,5.885004158443646
6,0.029837117577144842,0.7986582394519285,5.879932480491416
7,0.02276118189403885,0.7993727912003019,5.874879094762575
8,0.015697699574200145,0.8000830518518655,5.8698439118063845
9,0.008646896228913546,0.8007914983590768,5.8648268653129305
10,0.0016087930989843735,0.8014985729280016,5.8598278899321805
11,-0.005416624870320635,0.8022043560583255,5.85484692057229
12,-0.01242937915180076,0.8029088639482521,5.849883892376585
13,-0.019429492325268312,0.8036121013621462,5.844938740722034
14,-0.026416987133500117,0.8043140710284592,5.840011401218366
15,-0.03339188631448141,0.8050147753103407,5.835101809707228
16,-0.040354212571645856,0.8057142165026173,5.83020990226139
17,-0.047303988568646045,0.8064123968845913,5.8253356151838664
18,-0.05424123692848455,0.8071093187294315,5.820478885007099
19,-0.06116598023341994,0.8078049843058496,5.8156396484921515
20,-0.06807824102501053,0.8084993958784037,5.81081784262787
21,-0.0749780418041825,0.8091925557075582,5.806013404630042
22,-0.08186540503130209,0.8098844660497012,5.801226271940627
23,-0.08874035312624867,0.8105751291571527,5.796456382226899
24,-0.09560290846848761,0.8112645472781728,5.791703673380652
25,-0.10245309339714316,0.8119527226569687,5.786968083517396
26,-0.10929093021107114,0.8126396575337025,5.782249550975539
27,-0.11611644116893156,0.813325354144498,5.777548014315598
28,-0.12292964848926108,0.8140098147214483,5.772863412319381
29,-0.12973057435054527,0.8146930414926227,5.768195683989212
30,-0.13651924089129092,0.8153750366820742,5.76354476854712
31,-0.14329567021009798,0.8160558025098472,5.758910605434049
32,-0.1500598843657316,0.8167353411919838,5.7542931343090755
33,-0.15681190537719386,0.8174136549405314,5.7496922950486296
34,-0.16355175522379548,0.8180907459635505,5.745108027745686
35,-0.17027945584522738,0.8187666164651208,5.740540272709014
36,-0.17699502914163212,0.8194412686453493,5.735988970462384
37,-0.1836984969736751,0.8201147047003768,5.7314540617437935
38,-0.1903898811626158,0.8207869268223856,5.7269354875047025
