step,cost_func
0,0.6931471805599461
1,0.6930192686143135
2,0.6928917338965915
3,0.6927645742036594
4,0.6926377873468947
5,0.6925113711520832
6,0.6923853234593258
7,0.6922596421229518
8,0.6921343250114242
9,0.6920093700072563
10,0.6918847750069166
11,0.6917605379207435
12,0.6916366566728583
13,0.6915131292010752
14,0.6913899534568158
15,0.69126712740502
16,0.6911446490240644
17,0.6910225163056727
18,0.6909007272548313
19,0.6907792798897062
20,0.6906581722415549
21,0.6905374023546467
22,0.6904169682861773
23,0.6902968681061865
24,0.6901770998974721
25,0.6900576617555143
26,0.6899385517883901
27,0.6898197681166905
28,0.6897013088734448
29,0.6895831722040343
30,0.6894653562661184
31,0.68934785922955
32,0.6892306792763003
33,0.6891138146003782
34,0.688997263407754
35,0.688881023916278
36,0.688765094355609
37,0.6886494729671322
38,0.6885341580038851
39,0.6884191477304841
40,0.6883044404230437
41,0.6881900343691044
42,0.6880759278675599
43,0.6879621192285793
44,0.6878486067735345
45,0.68773538883493
46,0.6876224637563242
47,0.6875098298922618
48,0.6873974856081987
49,0.6872854292804332
50,0.687173659296031
51,0.6870621740527594
52,0.6869509719590097
53,0.6868400514337365
54,0.6867294109063797
55,0.6866190488167985
56,0.6865089636152047
57,0.6863991537620909
58,0.686289617728166
59,0.6861803539942843
60,0.6860713610513786
61,0.6859626374003965
62,0.6858541815522321
63,0.6857459920276594
64,0.6856380673572667
65,0.6855304060813943
66,0.6854230067500648
67,0.6853158679229235
68,0.6852089881691711
69,0.685102366067502
70,0.6849960002060397
71,0.6848898891822756
72,0.6847840316030047
73,0.6846784260842647
74,0.6845730712512731
75,0.6844679657383679
76,0.684363108188945
77,0.684258497255397
78,0.6841541315990562
79,0.68405000989013
80,0.683946130807646
81,0.6838424930393894
82,0.683739095281847
83,0.6836359362401463
84,0.6835330146280001
85,0.6834303291676466
86,0.683327878589792
87,0.6832256616335558
88,0.6831236770464131
89,0.6830219235841372
90,0.6829204000107453
91,0.6828191050984416
92,0.6827180376275638
93,0.6826171963865263
94,0.6825165801717678
95,0.6824161877876941
96,0.682316018046628
97,0.682216069768754
98,0.6821163417820648
99,0.6820168329223071
100,0.6819175420329341
101,0.6818184679650474
102,0.6817196095773498
103,0.6816209657360911
104,0.681522535315018
105,0.6814243171953231
106,0.6813263102655938
107,0.6812285134217644
108,0.6811309255670627
109,0.681033545611963
110,0.6809363724741366
111,0.6808394050784026
112,0.6807426423566784
113,0.6806460832479329
114,0.6805497266981377
115,0.68045357166022
116,0.6803576170940132
117,0.6802618619662141
118,0.6801663052503314
119,0.6800709459266437
120,0.6799757829821482
121,0.6798808154105204
122,0.6797860422120653
123,0.6796914623936708
124,0.6795970749687684
125,0.6795028789572819
126,0.6794088733855865
127,0.6793150572864658
128,0.6792214296990658
129,0.6791279896688507
130,0.6790347362475633
131,0.6789416684931782
132,0.6788487854698615
133,0.6787560862479275
134,0.6786635699037977
135,0.6785712355199559
136,0.6784790821849115
137,0.6783871089931547
138,0.6782953150451152
139,0.6782036994471242
140,0.6781122613113724
141,0.6780209997558693
142,0.6779299139044036
143,0.6778390028865057
144,0.6777482658374033
145,0.6776577018979881
146,0.6775673102147723
147,0.6774770899398536
148,0.6773870402308744
149,0.677297160250983
150,0.6772074491688008
151,0.6771179061583773
152,0.6770285303991588
153,0.6769393210759489
154,0.6768502773788708
155,0.6767613985033316
156,0.676672683649989
157,0.6765841320247079
158,0.6764957428385324
159,0.6764075153076449
160,0.6763194486533335
161,0.6762315421019546
162,0.6761437948849003
163,0.6760562062385621
164,0.6759687754042975
165,0.6758815016283946
166,0.6757943841620399
